Gen_Bus,PG_MW,QG_MVar,Qmax_MVar,Qmin_MVar,VG_PU,MBase_MVA,StatusONOFF,Pmax_MW,Pmin_MW,PC1_MW,PC2_MW,QC1MIN_MVAR,QC1MAX_MVAR,QC2MIN_MVAR,QC2MAX_MVAR,RAMP_AGC_MW_MIN,RAMP_10_MW,RAMP_30_MW,RAMP_Q_MVAR_MIN,AreaParticipationFactor,CostModel,StartupCost_USD,Shutdown_USD,No_CostParameters,CostCoeff_2,CostCoeff_1,CostCoeff_0
1,26.4819505314829,14.9998887491822,15,-5,0.955,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
4,4.91168823559779e-05,71.5165873241187,300,-300,0.998,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
6,0.037512893105807,33.2837968380988,50,-13,0.99,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
8,4.19930132588881e-05,-78.638505238592,300,-300,1.015,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
10,401.870611513666,-99.6752453661627,200,-147,1.05,100,1,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0222222222,20,0
12,85.7927492356921,54.4401109964001,120,-35,0.99,100,1,185,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.117647059,20,0
15,20.8800382519845,23.8543983898138,30,-10,0.97,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
18,13.2232052089479,30.4726103691341,50,-16,0.973,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
19,21.5805658759067,23.9581811753413,24,-8,0.962,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
24,4.49061172482931e-05,-7.3034395560365,300,-300,0.992,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
25,193.813155332274,-46.9997638001,140,-47,1.05,100,1,320,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0454545455,20,0
26,279.761146999023,-27.5759838489808,1000,-1000,1.015,100,1,414,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0318471338,20,0
27,9.92084224961832,25.5344382017258,300,-300,0.968,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
