From_Bus,To_Bus,BR_R_PU,BR_X_PU,BR_B_PU,RateA_MVA,RateB_MVA,RateC_MVA,Tap,Shift,BR_Status,ANGMIN,ANGMAX,Pij,Qij,Pji,Qji,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
386,1613,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
539,536,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1623,1434,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1019,785,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1153,1152,0.00158730158730461,0.00793650793650995,0,0.5514156951,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
620,619,0.00158730158730461,0.00793650793650995,0,0.5514156951,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
841,228,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
783,893,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1331,1517,4.546945861678e-07,1.96050524376417e-06,1.19558535516262e-07,56.5673937346,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1380,1386,0.0158730158731167,0.0793650793649282,4.00000033096148e-10,0.5514156951,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1146,416,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1254,221,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1254,222,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1474,1574,0.0147179705215613,0.0136497307256366,7.5447800000461e-05,8.9623236987,0,0,1,-0,1,0,0,0,0,0,0,0,0,0,0
3,1575,6.87358276643993e-05,4.32256235827667e-05,1.92399966181256e-07,6.9545304026,0,0,1,-0,1,0,0,0,0,0,0,0,0,0,0
904,1234,5.55084325396825e-06,2.36205711451247e-05,1.17039598990232e-06,50.6313092069,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1490,128,1.3640873015873e-06,5.88151927437642e-06,3.98140400648117e-08,18.8557979115,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,286,0.0153769841269689,0.0138888888888751,9.31018000045469e-05,8.7295360701,0,0,1,-0,1,0,0,0,0,0,0,0,0,0,0
811,931,0.0362457482993434,0.121598639456693,0.00062909940000111,17.4590721403,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,1432,0.0245535714287906,0.0642857142857457,5.02740000030144e-06,16.4406262654,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
