Bus_Number;Bus_Type;PD_MW;QD_MVar;GS_MW;BS_MVar;BusArea;Vm;Va;BaseKV;LossZone;Vmax;Vmin;LAM_P;LAM_Q;MU_VMAX;MU_VMIN;Bus_Name;gis_x;gis_y
1;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00460H-80;6.759.401.370.109.130;22.729.232.007.259.100
2;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00158H;6.823.253.047.964.400;2.283.683.994.133.490
3;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00255H-1;6.813.466.850.221.300;22.926.756.264.190.000
4;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;09096H-2;6.815.002.073.042.530;225.699.652.947.263
5;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00120H-3;6.834.252.023.139.370;22.805.758.373.540.200
6;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K2546;6.827.627.275.550.190;22.855.097.850.348.900
7;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;K3999;6.770.845.129.858.920;22.726.505.416.063.200
8;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;K7009;6.769.366.362.863.460;22.774.308.882.629.100
9;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;K7008;6.769.366.362.863.460;22.774.308.882.629.100
10;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.181;6.769.366.362.863.460;22.774.308.882.629.100
11;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.91;6.769.366.362.863.460;22.774.308.882.629.100
12;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;09077.2H;6.800.342.347.333.650;22.681.722.842.643.400
13;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;N1801465;6.820.364.719.221.150;22.730.466.898.823.300
14;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00280H1;6.820.364.719.221.150;22.730.466.898.823.300
15;1;0.613;0.242273;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00098H-1;6.845.817.387.715.160;22.416.079.088.811.500
16;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00460H-271;677.175.872.975.912;22.646.287.226.380.300
17;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K320;6.821.133.806.609.240;22.837.061.628.296.700
18;1;-0.07400000000000001;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00150N-2;6.821.133.806.609.240;22.837.061.628.296.700
19;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05038H;6.812.999.868.834.050;2.259.581.205.702.630
20;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05016H-10;6.807.163.110.839.380;22.744.140.581.219.200
21;1;0.0;0.0;0.00104473;0.277016;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05016H-8;6.832.335.457.995.980;22.784.675.658.379.400
22;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00102N-3;6.832.335.457.995.980;22.784.675.658.379.400
23;1;0.1759;0.06952;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00102N-2;6.832.335.457.995.980;22.784.675.658.379.400
24;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00103N-3;6.829.992.285.552.390;2.277.513.876.308.590
25;1;0.280087;0.110698;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00103N-2;6.829.992.285.552.390;2.277.513.876.308.590
26;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00103N-1;6.829.992.285.552.390;2.277.513.876.308.590
27;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;K1526;6.825.387.719.105.800;2.273.152.654.186.790
28;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00300H-4;6.820.786.232.809.670;22.660.447.809.268.700
29;1;0.20296199999999998;0.080216;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00300N-3;6.820.786.232.809.670;22.660.447.809.268.700
30;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00224H-1;6.825.387.719.105.800;2.273.152.654.186.790
31;1;0.248966;0.098398;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00224N-1;6.825.387.719.105.800;2.273.152.654.186.790
32;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00224N-2;6.825.387.719.105.800;2.273.152.654.186.790
33;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;K3579;6.757.284.176.150.240;22.840.461.352.325.900
34;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;K3578;674.668.205.545.284;22.978.099.581.288.900
35;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;K3576;6.757.284.176.150.240;22.840.461.352.325.900
